marketplace,customer_id,review_id,product_id,product_title,product_category,star_rating,helpful_votes,total_votes,review_headline,review_body,review_date,product_rating,seller_rating,shipping_rating
US,48352685,R2Y2S6GNTUS5Y1,B002BZMN5W,(5) CR1130 Lithium Coin Cell Batteries,Watches,5,0,0,Five Stars,"Excellent Product, competitive price and quick delivery.",31/8/2015,5,5,5
US,34812417,R3106PXJZU06IV,B00IMWDYFQ,[LAD WEATHER] German Sensor Digital Compass Altimeter / Barometer/ Weather Forecast/ Multi function/ Outdoor Climbing/running/walking Sport Watch,Watches,3,0,1,Simple and clean look watch,"So far I have used the watch for a week. Looks clean and simple to use. The weather function is simple and on point so far. The band is comfortable and holds nicely without the end falling out of the loop. Havent used all the other functions yet, so I couldnt rate this watch five stars.",31/8/2015,3,5,5
US,36898387,R3JT3O0928D4FI,B00IMWDYFQ,[LAD WEATHER] German Sensor Digital Compass Altimeter / Barometer/ Weather Forecast/ Multi function/ Outdoor Climbing/running/walking Sport Watch,Watches,3,0,0,"Not bad, not great","Not bad, not great. It takes a little getting accustomed to, though I am not a techie wizard. The only thing I would change is the digital display. It is dim until the light is turned on. It reads the temperature accurately and other functions seem to work well. It needs to have time to take it through my routine.",31/8/2015,3,5,5
US,3191157,RLFYH6RZJ58T6,B00IMWDYFQ,[LAD WEATHER] German Sensor Digital Compass Altimeter / Barometer/ Weather Forecast/ Multi function/ Outdoor Climbing/running/walking Sport Watch,Watches,2,0,0,Two Stars,"Watch worked awesome for about 3 months, then the strap broke.",29/8/2015,2,5,5
US,45510296,R2OPCOIHDFNLY8,B005P1C55W,[Newly Upgraded] Versa Automatic Double Watch Winder in Black,Watches,2,0,0,Two Stars,interior quality poor my watch is expensive and I did not trust the plastic holder,29/8/2015,2,5,5
US,18055051,R15AOE62YC5F7Q,B00MWTG4RU,[Upgrades]CHIYODA Single Watch Winder with Quiet Motor-12 Rotation Modes,Watches,5,0,0,Five Stars,Very good for the price<br />Love it,31/8/2015,5,5,5
US,26720356,RO8OETARW5HP,B00MWTG4RU,[Upgrades]CHIYODA Single Watch Winder with Quiet Motor-12 Rotation Modes,Watches,4,0,0,Four Stars,"Great product, quiet and it works",31/8/2015,4,5,5
US,1310491,R1H05E3Q9XQMHE,B00VQ9BD6Y,[Volga] Northern Europe Chronograph Outdoor Sport Watches (Climbing/ Hiking/ Running/ Walking/ Camping) Casual Men Wrist,Watches,2,0,0,Two Stars,dial is hard to read and band fell apart after two weeks of use,30/8/2015,2,5,5
US,19673557,R1M815BNKBNTR0,B00KCIR9YU,10MM Vintage Women's Chinese-style Floral Print Watch-face Candy Color Quartz Watch,Watches,3,0,0,it broke already but was easily self fixed,Not really blue. More green.,29/8/2015,3,5,5
US,11633461,R1Z399KP09OIXS,B00G4FGWJI,18mm Brown Genuine Oil Tan Leather & Canvas Hadley Roma Watch Band Strap MS868,Watches,4,0,0,Looks good and the price was great,"Holding up well, I just wish the band loop was stitched in place (I'll take it to local shoe shop)<br />as it keeps moving around. Looks good and the price was great.",30/8/2015,4,5,5
US,47685377,R5Y0Z1NKQDGDA,B0084PFXV4,18mm Italian Leather Watch Band Strap for Omega Gold Black,Watches,1,0,0,One Star,Looks and feels like PVC. Cheap and nasty.,30/8/2015,1,5,5
US,51290681,R3NNLKGYHHJDX1,B003NYAQE0,18mm Mens Braided Leather Brown Watch Band Speidel,Watches,3,1,1,The watch band fit nicely with my watch,The watch band fit nicely with my watch. It doesn't come with the two metal pieces/rods that attach the band to the watch. But you can use your old ones. You'll need a very small screw driver or small pocket knife to remove and replace the two metal rods. They are spring loaded so they compress.The thing about the band that kept me from rating it higher is the color. I expected it to be darker than it appeared on the web site. But it is still OK and very functional.,31/8/2015,3,5,5
US,32861144,RQCVLNJVG9LL5,B00823FNUO,18mm Milano Genuine Leather Lizard Grain Black Flat Men's Watch Band Long,Watches,2,0,0,Two Stars,Ok but too thin in width.,30/8/2015,2,5,5
US,22796062,R2L8A104EDGV7U,B007P3ZI20,18mm Milano Trendy Silicone White Waterproof Replacement Watch Band Strap,Watches,3,0,0,Three Stars,"Didn't give this purchase enough forethought, and it is somewhat uncomfortable.",30/8/2015,3,5,5
US,26327578,R1GRBWG4EVBHUR,B008TYPNA6,18mm Tan Breitling Style Padded Glove Leather with Leather Lining and Gold-plated Buckle,Watches,3,0,0,Three Stars,"It looks great and fits on my old Timex, but it wears out after a few months.",30/8/2015,3,5,5
US,50931096,R122JYTQG64WZA,B0091WZXVY,19mm Brown/Black Pebbled Water Resistant Genuine Leather Fits Timex Expedition,Watches,5,1,1,Five Stars,Just the right strap and they included a second strap for free!,31/8/2015,5,5,5
US,23265393,R1DASU305CBLJU,B00823Q82Q,2 Pack White and Black Geneva Women's Large Round Face Silicone Rainbow Numbers Watch,Watches,5,0,0,Five Stars,Great product,31/8/2015,5,5,5
US,40584038,R64LTO33J5D1Z,B00823Q82Q,2 Pack White and Black Geneva Women's Large Round Face Silicone Rainbow Numbers Watch,Watches,1,2,2,novelty only!!!!!,"These watches are large .However they say water resistant,THEY ARE NOT!!I wore in the shower and it actually filled up with water.I have cheap watches I wear to do yard work and in the shower that hold up better than these do.So as a novelty I guess there okay but I wouldn't buy again or wear doing dishes or in the shower.I didn't want something I have to remove when I'm near water.",30/8/2015,1,5,5
US,30771823,R18QS7JN5OEGE4,B00IFW0OTM,2014 New Vintage Women Roma Digit Quartz Watch - Black,Watches,1,0,0,DO NOT BUY SMELL IS HORRIFIC!,This watch SMELLS so bad you can not even wear it! Stinks like mildew. It looks ok but wasted my money on it because the smell is atrocious.,31/8/2015,1,5,5
US,1811675,R33SHZHKQGFSD6,B00YG8YLY8,2015 Hot Sell Lady Belt Watch for Summer+birthday,Watches,1,0,0,No ggod,Very v cheaply made broke within the first 3 days,31/8/2015,1,5,5
US,50855013,R36W2WXCEV8UX0,B00NKVILUC,20mm Long Black Rubber Watch Band -- Comfortable and Durable PVC Material,Watches,5,0,0,Works with LG G Watch,I needed this to replace the far too small original brand on my LG G Watch.  Perfect length for me!,31/8/2015,5,5,5
US,43597885,R23E9FZZB7YOGB,B00DKYBYJE,22mm Alligator Grain Leather Watch Band Strap Push Button Deployment Clasp Contrast Stitch Color Black,Watches,4,0,0,Looks Great,So far so good. Worn over the weekend and looks great. No issues with clasp unlocking by accident. I have average wrists. Leather looks great. I'll update after a couple months of wear.,30/8/2015,4,5,5
US,10112908,R3M27P37PU0UUH,B00KPOR3NS,22mm High Quality White Silicone Rubber Watch Band Strap rw2201,Watches,1,1,2,One Star,Cheap... It's turning yellow,30/8/2015,1,5,5
US,22468000,ROG7XG63Y2K23,B00IZPZ5X4,22mm Military RAF Style Ballistic Nylon Watch Band - Black / Grey,Watches,4,0,0,Four Stars,great,30/8/2015,4,5,5
US,14796018,R2YROPIR7RQJ4E,B003KG3E68,22mm Military RAF Style Ballistic Nylon Watch Band - Olive,Watches,4,0,0,Good,"It’s a good watch band. I changed the original band on my diver watch and it complements it well. The materials are nice, both, the metal pieces and the nylon.",31/8/2015,4,5,5
US,16030219,RQCSZU997MCSO,B004HX2QHG,22mm NATO G10 Green Nylon Military Watch Band Strap,Watches,5,0,0,love the band,"A+ deal, love the band.",31/8/2015,5,5,5
US,130998,R1L6Q5HG3LY88,B00B7S9YQ0,23mm Leather Strap Black Toile Band Fit Cartier 38mm Santos 100 Large,Watches,1,3,3,MONEY WASTED.CHEATERS,"The straps are totally useless.First of all, they are very poor quality and they started deteriorating from the very first week.Second,they are not wide enough to fit the Santos XL chrono( as promised) leaving a gap in between .This was my first go with Amazon and I really feel cheated.",30/8/2015,1,5,5
US,44627796,R1NU2GFLGEXAN9,B00A2TO0C8,24mm 2 Piece Ss Divers Silicone Sky Blue Interchangeable Replacement Watch Band Strap,Watches,3,0,0,Three Stars,not the right one,28/8/2015,3,5,5
US,51330346,ROTNLALUAJAUB,B00MPF0XJQ,2Tone Gold Silver Cable Band Ladies Bangle Cuff Watch,Watches,3,0,0,Three Stars,It is a cheap watch that looks cheap.  There isn't much else to say.,31/8/2015,3,5,5
US,5120379,R30PS8FWDVQ8B5,B00MVQWUTA,3 Colors New Arrival World Map Leather Strap Watches?(White),Watches,1,0,0,Wouldnt buy again!,The color is off and I'm not sure but the watch isn't working.,29/8/2015,1,5,5
